PBS	CHR	POS
2.281491457	1	12008070
2.223161316	1	15986967
1.940193926	1	22838270
2.333613493	1	39798141
2.151478934	1	94574136
2.293212818	1	154842411
2.283603121	1	157737260
2.206750057	1	159922091
3.083767898	1	204380162
2.283603121	2	74903001
2.408442598	2	198270095
1.909610905	2	201887605
2.225582026	2	238283404
3.018012767	2	242181926
2.790847784	3	46307385
2.225582026	3	57543171
2.335453482	3	65415346
2.378397901	4	55602729
2.33169046	5	57913631
2.247277263	5	140953667
2.68947498	5	150444590
2.419678002	5	176332337
2.154435006	6	31675739
2.460275149	6	38084394
2.054817681	6	99856146
1.896237008	7	77247826
1.910612839	7	99689069
2.333613493	7	117432208
2.53774271	7	127950856
2.151478934	8	89058952
2.335989552	8	121282387
2.497761868	9	101830845
2.072097181	9	114508542
2.114090293	9	119460396
2.136240663	9	130884728
2.283603121	10	5789970
2.054817681	10	75675091
2.066119731	10	112764459
2.223161316	11	113853886
1.896237008	12	417154
2.333613493	12	111345220
2.333613493	14	105397093
2.421354099	15	93470509
2.333613493	17	10548003
2.362128018	17	15134314
2.422970716	17	40060994
2.374821777	18	348123
2.218742239	19	38997575
2.462890448	19	40771163
2.119358984	20	47274698
